"time" "survival" "NA." "NA..1"
0.0700489390246206 1 1 1
0.195861912589989 1 1 1
0.320435349469985 1 1 1
0.431249929142339 1 1 1
0.558426393061617 1 1 1
0.689108975033809 1 1 1
0.801762938608922 1 1 1
0.923082591689813 1 1 1
1.04327593499409 1 1 1
1.17285519310347 1 1 1
1.30066096026302 1 1 1
1.41254464032651 0.999664814043199 1 1
1.53270222776486 0.999332786731004 1 1
1.66205673471701 0.997536257207758 1 1
1.78705515560342 0.997536257207758 1 1
1.90340116773425 0.997536257207758 1 1
2.03258966530889 0.996772614071233 1 1
2.15618918050752 0.996048333982983 1 1
2.27881477402479 0.996048333982983 1 1
2.39141510380102 0.996048333982983 1 1
2.52185250269259 0.995086444221513 1 1
2.64199221219798 0.991164893655518 1 1
2.7717430984638 0.98798048360865 1 1
2.86991440394535 0.982359440315058 1 1
2.97403548551669 0.976738397021465 1 1
3.08050215189266 0.970023790642347 1 1
3.15680516977495 0.966455194290245 1 1
3.26500242006165 0.963975322248954 1 1
3.39973052286413 0.961330125404911 1 1
3.51275271176437 0.950165443400172 1 1
3.63743551952837 0.94040902309293 1 1
3.75855596135625 0.938940423546399 1 1
3.88286378323224 0.934457330193831 1 1
4.01022617765432 0.918758988696084 1 1
4.1405634601213 0.918758988696084 1 1
4.25867581202879 0.906710943695479 1 1
4.380413808741 0.903400314520356 1 1
4.5020123575761 0.898057961608546 1 1
4.62612096819908 0.896754257449697 1 1
4.75232129697862 0.89324523851127 1 1
4.86776421809583 0.89125602686672 1 1
4.99525942001992 0.884808359559364 1 1
5.12116093191995 0.878972608729729 1 1
5.25159833081152 0.874114933306589 1 1
5.36844850065189 0.865937714216588 1 1
5.49531031295103 0.861066991181643 1 1
5.6120174593277 0.860261562655412 1 1
5.73770647922453 0.851977687872148 1 1
5.86209398560172 0.847751985913789 1 1
5.98616684035878 0.843974950035515 1 1
6.10426846550649 0.832657192973023 1 1
6.22698259735842 0.819109463836879 1 1
6.3291779701507 0.801626365945778 1 1
6.35945808060767 0.777361771818686 1 1
6.48217221245961 0.762489476275951 1 1
6.61116149878124 0.755163207838815 1 1
6.73108667309109 0.742047440153765 1 1
6.84516576332233 0.735394706504533 1 1
6.93746953120571 0.726548239895697 1 1
7.03252650076526 0.700817914219277 1 1
7.15152202256107 0.680258510748484 1 1
7.25707333876938 0.651079057100643 1 1
7.3900851600075 0.64840842567156 1 1
7.50850858794852 0.647062704899503 1 1
7.63122271980046 0.647062704899503 1 1
7.7539368516524 0.646882350569228 1 1
7.87665098350433 0.646341287578401 1 1
7.99936511535627 0.64426721278023 1 1
8.07023744819054 0.599034696070393 1 1
8.20017005838671 0.598817921550753 1 1
8.27826086956521 0.590341268027796 1 1
8.43444249192222 0.590341268027796 1 1
8.6573010384359 0.5379344576444 1 1
8.92529901932997 0.537767980752429 1 1
9.0480131511819 0.537767980752429 1 1
9.16913359300979 0.537767980752429 1 1
9.22650643387563 0.509001465073455 1 1
9.22708409252256 0.434180182913364 1 1
9.27112975454906 0.405417961385111 1 1
9.39384388640099 0.404846839339238 1 1
9.51469871322487 0.404846839339238 1 1
9.63927215010486 0.404846839339238 1 1
9.7619862819568 0.404846839339238 1 1
9.88470041380874 0.404846839339238 1 1
10.0074145456606 0.404846839339238 1 1
10.1301286775126 0.404846839339238 1 1
10.2432806692202 0.404846839339238 1 1
10.3755569412164 0.404846839339238 1 1
10.4982710730684 0.404846839339238 1 1
10.6209852049203 0.404846839339238 1 1
10.7436993367722 0.404846839339238 0 1
